Anser caerulescens
Branta bernicla
Branta leucopsis
Branta hutchinsii
Branta canadensis
Branta hutchinsii/canadensis
Anser/Branta sp.
Cygnus olor
Cygnus buccinator
Cairina moschata (Domestic type)
Aix sponsa
Spatula discors
Spatula cyanoptera
Spatula clypeata
Mareca strepera
Mareca penelope
Mareca americana
Anas platyrhynchos
Anas platyrhynchos (Domestic type)
Anas acuta
Anas crecca
Anas crecca crecca/nimia
Anas crecca carolinensis
Anas sp.
Aythya valisineria
Aythya americana
Aythya collaris
Aythya marila
Aythya affinis
Somateria mollissima mollissima
Histrionicus histrionicus
Melanitta perspicillata
Melanitta fusca
Melanitta americana
Melanitta sp.
Bucephala albeola
Bucephala clangula
Bucephala islandica
Lophodytes cucullatus
Mergus merganser
Mergus merganser merganser/orientalis
Mergus serrator
Oxyura jamaicensis
Anatinae sp.
Phasianus colchicus
Dendragapus fuliginosus
Gavia pacifica
Gavia immer
Podilymbus podiceps
Podiceps auritus
Podiceps grisegena
Podiceps cristatus
Podiceps nigricollis
Aechmophorus occidentalis
Aechmophorus occidentalis/clarkii
Phalacrocorax pelagicus
Phalacrocorax carbo
Phalacrocorax auritus
Phalacrocoracidae sp.
Pelecanus erythrorhynchos
Ardea herodias
Ardea cinerea
Egretta thula
Nycticorax nycticorax
Cathartes aura
Pandion haliaetus
Elanus leucurus
Circus aeruginosus
Circus cyaneus
Circus hudsonius
Accipiter nisus
Accipiter cooperii
Accipiter striatus/cooperii
Haliaeetus leucocephalus
Haliaeetus albicilla
Buteo lineatus
Buteo jamaicensis
Buteo jamaicensis harlani
Accipitridae sp. (hawk sp.)
Rallus limicola
Porzana carolina
Fulica atra
Fulica americana
Antigone canadensis
Recurvirostra americana
Haematopus ostralegus
Haematopus bachmani
Pluvialis squatarola
Vanellus vanellus
Charadrius vociferus
Numenius phaeopus
Numenius americanus
Limosa lapponica
Limosa fedoa
Arenaria melanocephala
Calidris alpina
Calidris minutilla
Calidris melanotos
Calidris mauri
Calidris sp. (peep sp.)
Limnodromus griseus
Limnodromus scolopaceus
Limnodromus griseus/scolopaceus
Gallinago gallinago
Actitis macularius
Tringa melanoleuca
Tringa nebularia
Tringa semipalmata
Tringa flavipes
Tringa glareola
Charadriiformes sp.
Cepphus columba
Brachyramphus marmoratus
Chroicocephalus philadelphia
Chroicocephalus ridibundus
Hydrocoloeus minutus
Larus heermanni
Larus canus
Larus canus canus
Larus delawarensis
Larus occidentalis
Larus californicus
Larus argentatus
Larus argentatus argentatus/argenteus
Larus glaucoides thayeri
Larus fuscus
Larus glaucescens
Larus occidentalis x glaucescens
Larus marinus
Larinae sp.
Hydroprogne caspia
Sterna paradisaea
Columba livia (Feral Pigeon)
Columba palumbus
Patagioenas fasciata
Streptopelia decaocto
Zenaida macroura
Strix varia
Asio flammeus
Strigiformes sp.
Chordeiles minor
Cypseloides niger
Chaetura vauxi
Apus apus
Archilochus alexandri
Calypte anna
Selasphorus rufus
Selasphorus sasin
Trochilidae sp.
Megaceryle alcyon
Melanerpes lewis
Melanerpes formicivorus
Sphyrapicus ruber
Picoides nuttallii
Picoides pubescens
Picoides villosus
Colaptes auratus
Colaptes auratus [cafer Group]
Colaptes auratus luteus x cafer
Dryocopus pileatus
Falco sparverius
Falco columbarius
Falco subbuteo
Falco peregrinus
Contopus sordidulus
Empidonax traillii
Empidonax hammondii
Empidonax oberholseri
Empidonax difficilis
Empidonax sp.
Sayornis nigricans
Tyrannus verticalis
Tyrannus tyrannus
Tyrannidae sp.
Vireo huttoni
Vireo cassinii
Vireo gilvus
Cyanocitta stelleri
Cyanocitta cristata
Aphelocoma californica
Pica pica
Pica hudsonia
Nucifraga columbiana
Corvus monedula
Corvus brachyrhynchos
Corvus caurinus
Corvus cornix
Corvus corax
Stelgidopteryx serripennis
Progne subis
Tachycineta bicolor
Tachycineta thalassina
Riparia riparia
Hirundo rustica
Hirundo rustica rustica
Petrochelidon pyrrhonota
Hirundinidae sp.
