Chen caerulescens
Branta bernicla
Branta hutchinsii
Branta canadensis
Branta hutchinsii/canadensis
Cygnus buccinator
Aix sponsa
Anas strepera
Anas penelope
Anas americana
Anas platyrhynchos
Anas clypeata
Anas acuta
Anas crecca
Anas crecca carolinensis
Aythya collaris
Aythya marila
Aythya affinis
Histrionicus histrionicus
Melanitta perspicillata
Melanitta fusca
Melanitta americana
Melanitta sp.
Bucephala albeola
Bucephala clangula
Bucephala islandica
Lophodytes cucullatus
Mergus merganser
Anatinae sp.
Gavia pacifica
Gavia immer
Podilymbus podiceps
Podiceps auritus
Aechmophorus occidentalis
Phalacrocorax pelagicus
Phalacrocorax auritus
Ardea herodias
Pandion haliaetus
Circus cyaneus
Accipiter cooperii
Haliaeetus leucocephalus
Buteo jamaicensis
Accipitridae sp. (hawk sp.)
Fulica americana
Antigone canadensis
Haematopus bachmani
Pluvialis squatarola
Charadrius vociferus
Numenius phaeopus
Numenius americanus
Limosa fedoa
Arenaria melanocephala
Calidris alpina
Limnodromus scolopaceus
Tringa melanoleuca
Chroicocephalus philadelphia
Larus canus
Larus delawarensis
Larus occidentalis
Larus californicus
Larus argentatus
Larus thayeri
Larus glaucescens
Larinae sp.
Columba livia (Feral Pigeon)
Streptopelia decaocto
Strix varia
Strigiformes sp.
Calypte anna
Selasphorus rufus
Megaceryle alcyon
Sphyrapicus ruber
Picoides pubescens
Colaptes auratus
Colaptes auratus [cafer Group]
Colaptes auratus luteus x cafer
Dryocopus pileatus
Falco columbarius
Vireo huttoni
Cyanocitta stelleri
Aphelocoma californica
Corvus caurinus
Corvus corax
Progne subis
Tachycineta bicolor
Tachycineta thalassina
Hirundo rustica
Petrochelidon pyrrhonota
Hirundinidae sp.
Poecile atricapillus
Poecile rufescens
Psaltriparus minimus
Certhia americana
Troglodytes pacificus
Cistothorus palustris
Thryomanes bewickii
Cinclus mexicanus
Regulus satrapa
Regulus calendula
Turdus migratorius
Ixoreus naevius
Sturnus vulgaris
Oreothlypis celata
Geothlypis trichas
Setophaga coronata
Setophaga coronata coronata
Setophaga coronata auduboni
Passerella iliaca
Junco hyemalis
Junco hyemalis [oreganus Group]
Zonotrichia leucophrys
Zonotrichia atricapilla
Passerculus sandwichensis
Melospiza melodia
Melospiza lincolnii
Pipilo maculatus
Emberizidae sp. (sparrow sp.)
Cardinalis cardinalis
Agelaius phoeniceus
Quiscalus quiscula
Molothrus ater
Haemorhous mexicanus
Haemorhous purpureus
Spinus pinus
Spinus tristis
Passer domesticus
